"Wrestling","Wrestling Women's Featherweight, Freestyle"
"Athletics","Athletics Men's 5,000 metres"
"Rugby Sevens","Rugby Sevens Men's Rugby Sevens"
"Wrestling","Wrestling Women's Lightweight, Freestyle"
"Volleyball","Volleyball Women's Volleyball"
"Athletics","Athletics Women's Marathon"
"Modern Pentathlon","Modern Pentathlon Women's Individual"
"Judo","Judo Women's Half-Lightweight"
"Athletics","Athletics Men's High Jump"
"Rowing","Rowing Men's Quadruple Sculls"
"Swimming","Swimming Men's 50 metres Freestyle"
"Swimming","Swimming Men's 100 metres Freestyle"
"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay"
"Swimming","Swimming Men's 4 x 100 metres Medley Relay"
"Cycling","Cycling Women's Road Race, Individual"
"Basketball","Basketball Women's Basketball"
"Boxing","Boxing Men's Light-Heavyweight"
"Swimming","Swimming Men's 50 metres Freestyle"
"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay"
"Table Tennis","Table Tennis Men's Singles"
"Sailing","Sailing Men's One Person Dinghy"
"Volleyball","Volleyball Men's Volleyball"
"Swimming","Swimming Women's 100 metres Backstroke"
"Sailing","Sailing Men's Two Person Dinghy"
"Equestrianism","Equestrianism Mixed Dressage, Individual"
"Rugby Sevens","Rugby Sevens Men's Rugby Sevens"
"Water Polo","Water Polo Men's Water Polo"
"Rugby Sevens","Rugby Sevens Men's Rugby Sevens"
"Rowing","Rowing Men's Coxed Eights"
"Judo","Judo Women's Half-Middleweight"
"Sailing","Sailing Women's Skiff"
"Sailing","Sailing Women's Skiff"
"Athletics","Athletics Men's Triple Jump"
"Swimming","Swimming Men's 200 metres Freestyle"
"Football","Football Men's Football"
"Fencing","Fencing Men's Sabre, Individual"
"Beach Volleyball","Beach Volleyball Women's Beach Volleyball"
"Athletics","Athletics Women's Marathon"
"Athletics","Athletics Women's Heptathlon"
"Football","Football Men's Football"
"Golf","Golf Men's Individual"
"Water Polo","Water Polo Men's Water Polo"
"Handball","Handball Women's Handball"
"Rhythmic Gymnastics","Rhythmic Gymnastics Women's Group"
"Athletics","Athletics Women's Javelin Throw"
"Volleyball","Volleyball Men's Volleyball"
"Archery","Archery Women's Individual"
"Archery","Archery Women's Team"
"Football","Football Men's Football"
"Hockey","Hockey Women's Hockey"
"Table Tennis","Table Tennis Men's Singles"
"Weightlifting","Weightlifting Women's Flyweight"
"Athletics","Athletics Women's Pole Vault"
"Equestrianism","Equestrianism Mixed Jumping, Individual"
"Equestrianism","Equestrianism Mixed Jumping, Team"
"Badminton","Badminton Mixed Doubles"
"Shooting","Shooting Women's Air Rifle, 10 metres"
"Weightlifting","Weightlifting Women's Middleweight"
"Taekwondo","Taekwondo Men's Featherweight"
"Athletics","Athletics Men's 5,000 metres"
"Athletics","Athletics Men's 10,000 metres"
"Synchronized Swimming","Synchronized Swimming Women's Duet"
"Synchronized Swimming","Synchronized Swimming Women's Team"
"Athletics","Athletics Men's 100 metres"
"Athletics","Athletics Women's 100 metres"
"Athletics","Athletics Women's 200 metres"
"Shooting","Shooting Women's Trap"
"Badminton","Badminton Men's Doubles"
"Trampolining","Trampolining Women's Individual"
"Athletics","Athletics Women's 100 metres"
"Athletics","Athletics Women's 200 metres"
"Athletics","Athletics Women's 4 x 100 metres Relay"
"Swimming","Swimming Women's 200 metres Freestyle"
"Swimming","Swimming Women's 4 x 200 metres Freestyle Relay"
"Rugby Sevens","Rugby Sevens Men's Rugby Sevens"
"Water Polo","Water Polo Men's Water Polo"
"Rowing","Rowing Men's Coxless Fours"
"Athletics","Athletics Women's 20 kilometres Walk"
"Water Polo","Water Polo Women's Water Polo"
"Canoeing","Canoeing Men's Kayak Singles, Slalom"
"Athletics","Athletics Men's 4 x 100 metres Relay"
"Sailing","Sailing Women's Skiff"
"Rowing","Rowing Women's Single Sculls"
"Football","Football Men's Football"
"Cycling","Cycling Men's Road Race, Individual"
"Wrestling","Wrestling Men's Middleweight, Greco-Roman"
"Gymnastics","Gymnastics Men's Team All-Around"
"Gymnastics","Gymnastics Men's Rings"
"Athletics","Athletics Women's Marathon"
"Boxing","Boxing Men's Super-Heavyweight"
"Football","Football Men's Football"
"Football","Football Men's Football"
"Athletics","Athletics Men's 4 x 100 metres Relay"
"Athletics","Athletics Women's 4 x 100 metres Relay"
"Athletics","Athletics Women's 3,000 metres Steeplechase"
"Athletics","Athletics Men's 3,000 metres Steeplechase"
"Wrestling","Wrestling Men's Super-Heavyweight, Freestyle"
"Canoeing","Canoeing Women's Kayak Fours, 500 metres"
"Wrestling","Wrestling Men's Light-Heavyweight, Greco-Roman"
"Boxing","Boxing Men's Bantamweight"
"Fencing","Fencing Men's Foil, Individual"
"Fencing","Fencing Men's Foil, Team"
"Athletics","Athletics Women's 4 x 100 metres Relay"
"Volleyball","Volleyball Women's Volleyball"
"Canoeing","Canoeing Men's Kayak Singles, Slalom"
"Shooting","Shooting Men's Rapid-Fire Pistol, 25 metres"
"Athletics","Athletics Women's 800 metres"
"Athletics","Athletics Women's 1,500 metres"
"Athletics","Athletics Men's 3,000 metres Steeplechase"
"Basketball","Basketball Men's Basketball"
"Football","Football Men's Football"
"Swimming","Swimming Men's 400 metres Freestyle"
"Swimming","Swimming Men's 1,500 metres Freestyle"
"Sailing","Sailing Men's One Person Dinghy"
"Fencing","Fencing Women's Sabre, Team"
"Swimming","Swimming Women's 50 metres Freestyle"
"Athletics","Athletics Women's 100 metres"
"Judo","Judo Men's Half-Middleweight"
"Shooting","Shooting Men's Double Trap"
"Athletics","Athletics Women's 100 metres"
"Athletics","Athletics Men's 5,000 metres"
"Shooting","Shooting Men's Air Pistol, 10 metres"
"Shooting","Shooting Men's Free Pistol, 50 metres"
"Swimming","Swimming Women's 50 metres Freestyle"
"Shooting","Shooting Men's Skeet"
"Equestrianism","Equestrianism Mixed Jumping, Individual"
"Equestrianism","Equestrianism Mixed Jumping, Team"
"Weightlifting","Weightlifting Women's Lightweight"
"Shooting","Shooting Women's Air Pistol, 10 metres"
"Swimming","Swimming Women's 50 metres Freestyle"
"Athletics","Athletics Men's Discus Throw"
"Shooting","Shooting Men's Double Trap"
"Weightlifting","Weightlifting Men's Lightweight"
"Shooting","Shooting Men's Trap"
"Athletics","Athletics Women's 400 metres"
"Athletics","Athletics Men's 100 metres"
"Shooting","Shooting Men's Double Trap"
"Boxing","Boxing Men's Light-Welterweight"
"Rowing","Rowing Men's Single Sculls"
"Athletics","Athletics Women's 100 metres"
"Shooting","Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
"Swimming","Swimming Men's 100 metres Backstroke"
"Swimming","Swimming Women's 50 metres Freestyle"
"Shooting","Shooting Men's Skeet"
"Shooting","Shooting Men's Trap"
"Fencing","Fencing Women's Foil, Individual"
"Athletics","Athletics Men's 5,000 metres"
"Shooting","Shooting Men's Skeet"
"Handball","Handball Men's Handball"
"Equestrianism","Equestrianism Mixed Jumping, Individual"
"Equestrianism","Equestrianism Mixed Jumping, Team"
"Swimming","Swimming Men's 100 metres Backstroke"
"Athletics","Athletics Women's Marathon"
"Fencing","Fencing Men's epee, Individual"
"Athletics","Athletics Men's 3,000 metres Steeplechase"
"Equestrianism","Equestrianism Mixed Jumping, Individual"
"Equestrianism","Equestrianism Mixed Jumping, Team"
"Athletics","Athletics Men's 1,500 metres"
"Football","Football Men's Football"
"Fencing","Fencing Men's epee, Individual"
"Sailing","Sailing Women's Windsurfer"
"Athletics","Athletics Women's 3,000 metres Steeplechase"
"Table Tennis","Table Tennis Men's Singles"
"Table Tennis","Table Tennis Men's Singles"
"Cycling","Cycling Men's Road Race, Individual"
"Cycling","Cycling Men's Individual Time Trial"
"Water Polo","Water Polo Men's Water Polo"
"Triathlon","Triathlon Men's Olympic Distance"
"Taekwondo","Taekwondo Men's Heavyweight"
"Equestrianism","Equestrianism Mixed Jumping, Individual"
"Equestrianism","Equestrianism Mixed Jumping, Team"
"Cycling","Cycling Men's Road Race, Individual"
"Basketball","Basketball Women's Basketball"
"Swimming","Swimming Men's 4 x 100 metres Freestyle Relay"
"Rowing","Rowing Women's Coxed Eights"
"Hockey","Hockey Women's Hockey"
"Handball","Handball Women's Handball"
"Wrestling","Wrestling Men's Welterweight, Greco-Roman"
"Tennis","Tennis Men's Singles"
"Sailing","Sailing Mixed Multihull"
"Rugby Sevens","Rugby Sevens Men's Rugby Sevens"
"Athletics","Athletics Women's 200 metres"
"Rowing","Rowing Women's Coxed Eights"
"Rowing","Rowing Men's Lightweight Coxless Fours"
"Hockey","Hockey Men's Hockey"
"Sailing","Sailing Women's Two Person Dinghy"
"Athletics","Athletics Men's 400 metres Hurdles"
"Rowing","Rowing Men's Double Sculls"
"Wrestling","Wrestling Men's Middleweight, Greco-Roman"
"Wrestling","Wrestling Men's Heavyweight, Greco-Roman"
"Weightlifting","Weightlifting Men's Super-Heavyweight"
"Boxing","Boxing Women's Lightweight"
"Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres"
"Water Polo","Water Polo Men's Water Polo"
"Athletics","Athletics Women's 800 metres"
"Athletics","Athletics Women's 400 metres"
"Handball","Handball Women's Handball"
"Synchronized Swimming","Synchronized Swimming Women's Duet"
"Synchronized Swimming","Synchronized Swimming Women's Duet"
"Athletics","Athletics Women's Long Jump"
"Wrestling","Wrestling Men's Heavyweight, Greco-Roman"
"Taekwondo","Taekwondo Men's Heavyweight"
"Beach Volleyball","Beach Volleyball Women's Beach Volleyball"
"Equestrianism","Equestrianism Mixed Three-Day Event, Individual"
"Equestrianism","Equestrianism Mixed Three-Day Event, Team"
"Equestrianism","Equestrianism Mixed Three-Day Event, Individual"
"Equestrianism","Equestrianism Mixed Three-Day Event, Team"
"Athletics","Athletics Men's 200 metres"
"Athletics","Athletics Men's 110 metres Hurdles"
"Wrestling","Wrestling Women's Heavyweight, Freestyle"
"Athletics","Athletics Men's 400 metres"
"Boxing","Boxing Men's Flyweight"
"Athletics","Athletics Women's 100 metres Hurdles"
"Football","Football Men's Football"
"Football","Football Men's Football"
"Athletics","Athletics Women's 5,000 metres"
"Athletics","Athletics Men's Shot Put"
"Boxing","Boxing Men's Middleweight"
"Football","Football Women's Football"
"Shooting","Shooting Men's Trap"
"Beach Volleyball","Beach Volleyball Men's Beach Volleyball"
"Trampolining","Trampolining Men's Individual"
"Taekwondo","Taekwondo Women's Featherweight"
"Athletics","Athletics Men's 110 metres Hurdles"
"Swimming","Swimming Women's 100 metres Freestyle"
"Swimming","Swimming Women's 100 metres Freestyle"
"Rugby Sevens","Rugby Sevens Women's Rugby Sevens"
"Sailing","Sailing Women's One Person Dinghy"
"Table Tennis","Table Tennis Women's Singles"
"Athletics","Athletics Men's 110 metres Hurdles"
"Athletics","Athletics Men's 4 x 400 metres Relay"
"Judo","Judo Men's Heavyweight"
"Football","Football Women's Football"
"Swimming","Swimming Men's 200 metres Breaststroke"
"Synchronized Swimming","Synchronized Swimming Women's Duet"
"Boxing","Boxing Men's Lightweight"
"Handball","Handball Women's Handball"
"Athletics","Athletics Men's Marathon"
"Athletics","Athletics Women's 800 metres"
"Swimming","Swimming Men's 1,500 metres Freestyle"
"Swimming","Swimming Men's 400 metres Individual Medley"
"Handball","Handball Men's Handball"
"Shooting","Shooting Men's Air Pistol, 10 metres"
"Shooting","Shooting Men's Free Pistol, 50 metres"
"Swimming","Swimming Men's 200 metres Butterfly"
"Equestrianism","Equestrianism Mixed Dressage, Individual"
"Equestrianism","Equestrianism Mixed Dressage, Team"
"Equestrianism","Equestrianism Mixed Dressage, Individual"
"Equestrianism","Equestrianism Mixed Dressage, Team"
"Handball","Handball Women's Handball"
"Water Polo","Water Polo Men's Water Polo"
"Taekwondo","Taekwondo Women's Heavyweight"
"Boxing","Boxing Men's Flyweight"
"Handball","Handball Men's Handball"
"Swimming","Swimming Women's 50 metres Freestyle"
"Sailing","Sailing Men's One Person Dinghy"
"Handball","Handball Women's Handball"
"Gymnastics","Gymnastics Women's Team All-Around"
"Gymnastics","Gymnastics Women's Uneven Bars"
"Gymnastics","Gymnastics Women's Balance Beam"
"Judo","Judo Women's Heavyweight"
"Canoeing","Canoeing Men's Canadian Singles, 1,000 metres"
"Athletics","Athletics Men's Triple Jump"
"Synchronized Swimming","Synchronized Swimming Women's Duet"
"Equestrianism","Equestrianism Mixed Jumping, Individual"
"Equestrianism","Equestrianism Mixed Jumping, Team"
"Synchronized Swimming","Synchronized Swimming Women's Duet"
"Football","Football Men's Football"
"Boxing","Boxing Men's Lightweight"
"Rugby Sevens","Rugby Sevens Men's Rugby Sevens"
"Equestrianism","Equestrianism Mixed Jumping, Individual"
"Equestrianism","Equestrianism Mixed Jumping, Team"
"Archery","Archery Men's Individual"
"Archery","Archery Men's Team"
"Judo","Judo Women's Middleweight"
"Athletics","Athletics Men's Long Jump"
"Synchronized Swimming","Synchronized Swimming Women's Team"
"Gymnastics","Gymnastics Women's Individual All-Around"
"Gymnastics","Gymnastics Women's Floor Exercise"
"Gymnastics","Gymnastics Women's Uneven Bars"
